experiment,trace_id,time_sec,agent,policy,selected_event_id,selected_event_type,action,decision_signal,event_link_status,metric_feedback_signal,attribution_or_outcome_signal,feedback_class,feedback_status,issues,safety_boundary
E5_rule_aura_tsra_r,aura-trace-00017,160,AURA,rule_attack_score,atk-00003,attack_event,queue_pressure,score=0.9475; expected_mission_impact=1; target=MESH; reason=increase non-critical queue occupancy,linked,before=0.127164@t=160; peak=0.127164; after=0.101182@t=240; delta=-0.0259815; peak_latency=1; peak_trusted_stale=0.125; peak_priority_inversion=0.0368272,response=complete; outcome=held near attack-time impact; reduction_from_peak=0.00546539,attack_contained_by_defense,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00035,170,TSRA-R,rule_defense_full,def-00012,defense_event,priority_reroute,eligible=True; ready=True; enabled=True; reason=critical traffic waiting behind video load,linked,before=0.125164; after=0.121698; delta=-0.00346593; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.00693187,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00035,170,TSRA-R,rule_defense_full,def-00013,defense_event,video_throttle,eligible=True; ready=True; enabled=True; reason=protect critical traffic capacity,linked,before=0.125164; after=0.121698; delta=-0.00346593; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.00693187,observed_effect=held; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00035,170,TSRA-R,rule_defense_full,def-00014,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.125164; after=0.121698; delta=-0.00346593; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.00693187,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00041,200,TSRA-R,rule_defense_full,def-00015,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.121698; after=0.0850658; delta=-0.0366324; latency_delta=0; trusted_stale_delta=-0.0625; priority_delta=-0.00451484,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00042,205,TSRA-R,rule_defense_full,def-00016,defense_event,priority_reroute,eligible=True; ready=True; enabled=True; reason=critical traffic waiting behind video load,linked,before=0.121226; after=0.101458; delta=-0.0197677; latency_delta=0; trusted_stale_delta=-0.0625; priority_delta=-0.00411868,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00042,205,TSRA-R,rule_defense_full,def-00017,defense_event,video_throttle,eligible=True; ready=True; enabled=True; reason=protect critical traffic capacity,linked,before=0.121226; after=0.101458; delta=-0.0197677; latency_delta=0; trusted_stale_delta=-0.0625; priority_delta=-0.00411868,observed_effect=held; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,aura-trace-00022,210,AURA,rule_attack_score,atk-00004,attack_event,queue_pressure,score=0.9475; expected_mission_impact=1; target=MESH; reason=increase non-critical queue occupancy,linked,before=0.120809@t=210; peak=0.134572; after=0.133686@t=290; delta=0.012877; peak_latency=1; peak_trusted_stale=0.125; peak_priority_inversion=0.0241187,response=complete; outcome=held near attack-time impact; reduction_from_peak=0.0201095,attack_pressure_observed,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00048,235,TSRA-R,rule_defense_full,def-00018,defense_event,priority_reroute,eligible=True; ready=True; enabled=True; reason=critical traffic waiting behind video load,linked,before=0.101458; after=0.134572; delta=0.0331133; latency_delta=0; trusted_stale_delta=0.0625; priority_delta=-0.00252347,observed_effect=degraded_or_delayed; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00048,235,TSRA-R,rule_defense_full,def-00019,defense_event,pace_switch,eligible=True; ready=True; enabled=True; reason=fallback link degraded beyond mission threshold,linked,before=0.101458; after=0.134572; delta=0.0331133; latency_delta=0; trusted_stale_delta=0.0625; priority_delta=-0.00252347,observed_effect=degraded_or_delayed; attribution_class=bounded_tradeoff_supported; attribution_status=pass; primary_metric=mission_impact,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00049,240,TSRA-R,rule_defense_full,def-00020,defense_event,video_throttle,eligible=True; ready=True; enabled=True; reason=protect critical traffic capacity,linked,before=0.101182; after=0.134395; delta=0.0332125; latency_delta=0; trusted_stale_delta=0.0625; priority_delta=-0.00232501,observed_effect=degraded_or_delayed; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,aura-trace-00027,260,AURA,rule_attack_score,atk-00005,attack_event,queue_pressure,score=0.9035; expected_mission_impact=0.956; target=LTE; reason=increase non-critical queue occupancy,linked,before=0.100367@t=260; peak=0.134572; after=0.133373@t=300; delta=0.0330053; peak_latency=1; peak_trusted_stale=0.125; peak_priority_inversion=0.0186514,response=complete; outcome=covered with residual mission impact; reduction_from_peak=0.00119899,attack_pressure_observed,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00054,265,TSRA-R,rule_defense_full,def-00021,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.134572; after=0.133521; delta=-0.00105019; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.00210038,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00056,275,TSRA-R,rule_defense_full,def-00022,defense_event,video_throttle,eligible=True; ready=True; enabled=True; reason=protect critical traffic capacity,linked,before=0.134189; after=0.133373; delta=-0.000815993; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.00163199,observed_effect=held; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra-r-trace-00060,295,TSRA-R,rule_defense_full,def-00023,defense_event,stale_badge,eligible=True; ready=True; enabled=True; reason=mark stale COP objects as lower trust,linked,before=0.133521; after=0.133373; delta=-0.000148802; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.000297604,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,aura-ml-trace-00007,60,AURA-ML,ml_impact_predictor,ml-atk-00001,attack_event,queue_pressure,score=0.579505; expected_mission_impact=0.602005; target=SATCOM; reason=ML impact predictor selected queue_pressure,linked,before=0.376905@t=60; peak=0.437917; after=0.166086@t=140; delta=-0.210819; peak_latency=12.4; peak_trusted_stale=0.5; peak_priority_inversion=0.340426,response=complete; outcome=contained after peak degradation; reduction_from_peak=0.205612,attack_pressure_observed,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00017,80,TSRA-R-ML,ml_anomaly_detector,def-00001,defense_event,ml_attack_alert,probability=0.946005; threshold=0.75; active_defense_until=150,linked,before=0.322963; after=0.211596; delta=-0.111367; latency_delta=0.5; trusted_stale_delta=-0.0625; priority_delta=-0.16065,observed_effect=held; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00017,80,TSRA-R-ML,ml_anomaly_detector,def-00002,defense_event,priority_reroute,reason=detector opened or maintained defense window,linked,before=0.322963; after=0.211596; delta=-0.111367; latency_delta=0.5; trusted_stale_delta=-0.0625; priority_delta=-0.16065,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00017,80,TSRA-R-ML,ml_anomaly_detector,def-00003,defense_event,video_throttle,reason=detector opened or maintained defense window,linked,before=0.322963; after=0.211596; delta=-0.111367; latency_delta=0.5; trusted_stale_delta=-0.0625; priority_delta=-0.16065,observed_effect=improved; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00017,80,TSRA-R-ML,ml_anomaly_detector,def-00004,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.322963; after=0.211596; delta=-0.111367; latency_delta=0.5; trusted_stale_delta=-0.0625; priority_delta=-0.16065,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00017,80,TSRA-R-ML,ml_anomaly_detector,def-00005,defense_event,pace_switch,reason=detector opened or maintained defense window,linked,before=0.322963; after=0.211596; delta=-0.111367; latency_delta=0.5; trusted_stale_delta=-0.0625; priority_delta=-0.16065,observed_effect=improved; attribution_class=bounded_tradeoff_supported; attribution_status=pass; primary_metric=mission_impact,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00022,105,TSRA-R-ML,ml_anomaly_detector,def-00006,defense_event,ml_attack_alert,probability=0.951098; threshold=0.75; active_defense_until=175,linked,before=0.220011; after=0.170224; delta=-0.0497869; latency_delta=-2.6; trusted_stale_delta=0; priority_delta=-0.0649071,observed_effect=held; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,aura-ml-trace-00012,110,AURA-ML,ml_impact_predictor,ml-atk-00002,attack_event,failover_chasing,score=0.841793; expected_mission_impact=0.916793; target=LTE; reason=ML impact predictor selected failover_chasing,linked,before=0.211596@t=110; peak=0.211596; after=0.159966@t=180; delta=-0.0516303; peak_latency=10.6; peak_trusted_stale=0.125; peak_priority_inversion=0.179775,response=complete; outcome=held near attack-time impact; reduction_from_peak=0.0213565,attack_contained_by_defense,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00024,115,TSRA-R-ML,ml_anomaly_detector,def-00007,defense_event,video_throttle,reason=detector opened or maintained defense window,linked,before=0.205481; after=0.19362; delta=-0.0118609; latency_delta=-2.65; trusted_stale_delta=0.0625; priority_delta=-0.0571386,observed_effect=improved; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00025,120,TSRA-R-ML,ml_anomaly_detector,def-00008,defense_event,priority_reroute,reason=detector opened or maintained defense window,linked,before=0.19825; after=0.190239; delta=-0.00801011; latency_delta=-2.45; trusted_stale_delta=0.0625; priority_delta=-0.0521035,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00025,120,TSRA-R-ML,ml_anomaly_detector,def-00009,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.19825; after=0.190239; delta=-0.00801011; latency_delta=-2.45; trusted_stale_delta=0.0625; priority_delta=-0.0521035,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00027,130,TSRA-R-ML,ml_anomaly_detector,def-00010,defense_event,ml_attack_alert,probability=0.971653; threshold=0.75; active_defense_until=200,linked,before=0.176793; after=0.201798; delta=0.0250046; latency_delta=-0.9; trusted_stale_delta=0.0625; priority_delta=-0.0400741,observed_effect=held; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00031,150,TSRA-R-ML,ml_anomaly_detector,def-00011,defense_event,video_throttle,reason=detector opened or maintained defense window,linked,before=0.190239; after=0.159966; delta=-0.0302738; latency_delta=-4.95; trusted_stale_delta=0; priority_delta=-0.0278809,observed_effect=improved; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00031,150,TSRA-R-ML,ml_anomaly_detector,def-00012,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.190239; after=0.159966; delta=-0.0302738; latency_delta=-4.95; trusted_stale_delta=0; priority_delta=-0.0278809,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00032,155,TSRA-R-ML,ml_anomaly_detector,def-00013,defense_event,ml_attack_alert,probability=0.96213; threshold=0.75; active_defense_until=225,linked,before=0.187877; after=0.155665; delta=-0.0322123; latency_delta=-5.4; trusted_stale_delta=0; priority_delta=-0.0257579,observed_effect=held; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,aura-ml-trace-00017,160,AURA-ML,ml_impact_predictor,ml-atk-00003,attack_event,queue_pressure,score=0.918255; expected_mission_impact=0.970755; target=LTE; reason=ML impact predictor selected queue_pressure,linked,before=0.201798@t=160; peak=0.201798; after=0.125012@t=240; delta=-0.076786; peak_latency=7.75; peak_trusted_stale=0.125; peak_priority_inversion=0.0960961,response=complete; outcome=contained after peak degradation; reduction_from_peak=0.05886,attack_contained_by_defense,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00033,160,TSRA-R-ML,ml_anomaly_detector,def-00014,defense_event,priority_reroute,reason=detector opened or maintained defense window,linked,before=0.201798; after=0.147949; delta=-0.053849; latency_delta=-6.3; trusted_stale_delta=0; priority_delta=-0.0236979,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00033,160,TSRA-R-ML,ml_anomaly_detector,def-00015,defense_event,pace_switch,reason=detector opened or maintained defense window,linked,before=0.201798; after=0.147949; delta=-0.053849; latency_delta=-6.3; trusted_stale_delta=0; priority_delta=-0.0236979,observed_effect=improved; attribution_class=bounded_tradeoff_supported; attribution_status=pass; primary_metric=mission_impact,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00037,180,TSRA-R-ML,ml_anomaly_detector,def-00016,defense_event,ml_attack_alert,probability=0.959167; threshold=0.75; active_defense_until=250,linked,before=0.159966; after=0.141337; delta=-0.0186291; latency_delta=-1.8; trusted_stale_delta=0; priority_delta=-0.0132583,observed_effect=held; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00037,180,TSRA-R-ML,ml_anomaly_detector,def-00017,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.159966; after=0.141337; delta=-0.0186291; latency_delta=-1.8; trusted_stale_delta=0; priority_delta=-0.0132583,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00038,185,TSRA-R-ML,ml_anomaly_detector,def-00018,defense_event,video_throttle,reason=detector opened or maintained defense window,linked,before=0.155665; after=0.140496; delta=-0.0151687; latency_delta=-1.35; trusted_stale_delta=0; priority_delta=-0.0123373,observed_effect=improved; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00039,190,TSRA-R-ML,ml_anomaly_detector,def-00019,defense_event,priority_reroute,reason=detector opened or maintained defense window,linked,before=0.147949; after=0.109026; delta=-0.0389228; latency_delta=0.15; trusted_stale_delta=-0.0625; priority_delta=-0.0110955,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00042,205,TSRA-R-ML,ml_anomaly_detector,def-00020,defense_event,ml_attack_alert,probability=0.957447; threshold=0.75; active_defense_until=275,linked,before=0.142014; after=0.143536; delta=0.00152214; latency_delta=1; trusted_stale_delta=0; priority_delta=-0.0102891,observed_effect=held; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,aura-ml-trace-00022,210,AURA-ML,ml_impact_predictor,ml-atk-00004,attack_event,failover_chasing,score=0.745517; expected_mission_impact=0.820517; target=MESH; reason=ML impact predictor selected failover_chasing,linked,before=0.141337@t=210; peak=0.157241; after=0.155822@t=280; delta=0.0144856; peak_latency=2; peak_trusted_stale=0.125; peak_priority_inversion=0.0651731,response=complete; outcome=held near attack-time impact; reduction_from_peak=0.0205729,attack_pressure_observed,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00043,210,TSRA-R-ML,ml_anomaly_detector,def-00021,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.141337; after=0.125012; delta=-0.0163245; latency_delta=1; trusted_stale_delta=-0.0625; priority_delta=-0.0105656,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00044,215,TSRA-R-ML,ml_anomaly_detector,def-00022,defense_event,priority_reroute,reason=detector opened or maintained defense window,linked,before=0.140496; after=0.124242; delta=-0.0162537; latency_delta=1; trusted_stale_delta=-0.0625; priority_delta=-0.0104241,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00045,220,TSRA-R-ML,ml_anomaly_detector,def-00023,defense_event,video_throttle,reason=detector opened or maintained defense window,linked,before=0.109026; after=0.123725; delta=0.0146983; latency_delta=0.4; trusted_stale_delta=0; priority_delta=-0.00927016,observed_effect=held; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
